COUNTY,COUSUB,FIPS,NAME,2010_Total_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_population,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population,Percent_Change_2010_to_2020_Total_Population,Percent_Change_2010_to_2020_White_Alone_Population,Percent_Change_2010_to_2020_Black_Alone_Population,Percent_Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_population,Percent_Change_2010_to_2020_Asian_Alone_Population,Percent_Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,Percent_Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Percent_Change_2010_to_2020_Population_two_or_more_races,Percent_Change_2010_to_2020_Hispanic_or_Latino_Population
Butler,24248,4201924248,Evans City borough,1833,1803,8,0,10,1,1,10,15,1737,1640,4,0,7,0,19,67,40,-96,-163,-4,0,-3,-1,18,57,25,-5.20%,-9.00%,-50.00%,,-30.00%,-100.00%,1800.00%,570.00%,166.70%
Butler,24832,4201924832,Fairview borough,198,190,5,0,0,0,0,3,0,180,170,2,1,0,0,3,4,2,-18,-20,-3,1,0,0,3,1,2,-9.10%,-10.50%,-60.00%,,,,,33.30%,
Butler,24840,4201924840,Fairview township,2080,2067,3,0,1,0,3,6,6,1940,1880,3,2,3,0,5,47,14,-140,-187,0,2,2,0,2,41,8,-6.70%,-9.00%,0.00%,,200.00%,,66.70%,683.30%,133.30%
Butler,26904,4201926904,Forward township,2531,2492,2,5,9,1,0,22,11,3164,2974,6,9,23,0,30,122,58,633,482,4,4,14,-1,30,100,47,25.00%,19.30%,200.00%,80.00%,155.60%,-100.00%,,454.50%,427.30%
Butler,27352,4201927352,Franklin township,2620,2576,7,1,8,6,2,20,19,2598,2466,11,0,4,0,7,110,26,-22,-110,4,-1,-4,-6,5,90,7,-0.80%,-4.30%,57.10%,-100.00%,-50.00%,-100.00%,250.00%,450.00%,36.80%
Butler,32688,4201932688,Harmony borough,890,871,1,0,4,0,6,8,13,942,886,11,0,4,0,3,38,11,52,15,10,0,0,0,-3,30,-2,5.80%,1.70%,1000.00%,,0.00%,,-50.00%,375.00%,-15.40%
Butler,32896,4201932896,Harrisville borough,897,869,11,1,0,0,5,11,9,819,777,4,0,2,1,2,33,9,-78,-92,-7,-1,2,1,-3,22,0,-8.70%,-10.60%,-63.60%,-100.00%,,,-60.00%,200.00%,0.00%
Butler,37344,4201937344,Jackson township,3657,3578,17,2,13,2,21,24,35,4883,4502,35,1,58,0,28,259,96,1226,924,18,-1,45,-2,7,235,61,33.50%,25.80%,105.90%,-50.00%,346.20%,-100.00%,33.30%,979.20%,174.30%
Butler,37848,4201937848,Jefferson township,5504,5432,28,3,11,0,7,23,33,5212,5049,23,9,10,0,11,110,51,-292,-383,-5,6,-1,0,4,87,18,-5.30%,-7.10%,-17.90%,200.00%,-9.10%,,57.10%,378.30%,54.50%
Butler,38768,4201938768,Karns City borough,209,209,0,0,0,0,0,0,0,175,170,0,0,0,0,0,5,4,-34,-39,0,0,0,0,0,5,4,-16.30%,-18.70%,,,,,,,
Butler,41208,4201941208,Lancaster township,2532,2495,8,0,10,0,0,19,17,2745,2636,10,2,5,0,15,77,29,213,141,2,2,-5,0,15,58,12,8.40%,5.70%,25.00%,,-50.00%,,,305.30%,70.60%
Butler,47448,4201947448,Marion township,1239,1230,2,3,0,0,0,4,1,1167,1130,0,1,1,0,0,35,2,-72,-100,-2,-2,1,0,0,31,1,-5.80%,-8.10%,-100.00%,-66.70%,,,,775.00%,100.00%
Butler,47672,4201947672,Mars borough,1699,1653,12,0,14,0,3,17,24,1458,1380,19,3,5,0,13,38,45,-241,-273,7,3,-9,0,10,21,21,-14.20%,-16.50%,58.30%,,-64.30%,,333.30%,123.50%,87.50%
Butler,48688,4201948688,Mercer township,1100,1088,4,0,3,0,0,5,1,993,963,5,0,3,0,0,22,5,-107,-125,1,0,0,0,0,17,4,-9.70%,-11.50%,25.00%,,0.00%,,,340.00%,400.00%
